"x.pos","y.pos"
487.500000161284,-2067.49994328692
552.499998178278,-2122.49994194555
647.499993800141,-2137.49994190957
557.499997463933,-2042.4999439578
607.499995610847,-2042.49994387319
602.499995213179,-2122.49994260761
687.49999206066,-2052.49994465101
617.499994707958,-2127.49994151339
707.499991206316,-2082.49994380847
687.499992614815,-2122.4999416224
722.499990598363,-2057.49994437942
502.500000344986,-2072.49994344109
462.500001138906,-2087.49994332632
452.500001760652,-2092.49994314912
487.500000774324,-2097.49994327656
457.500001489748,-2097.49994290239
532.499998448981,-2097.49994226546
447.500001947895,-2112.49994199906
537.499998794878,-2077.49994320197
707.499991127625,-2057.49994455454
602.499995249725,-2052.49994366753
457.500001678574,-2092.49994296839
597.499995642731,-2122.49994208369
702.499991298034,-2072.49994323547
692.499991735345,-2062.49994421473
712.499990645925,-2057.49994455497
477.500001308962,-2097.49994232533
707.499991033345,-2137.49994185671
692.499992343758,-2092.49994279163
702.499991906257,-2087.49994352307
697.499991906915,-2062.49994420429
672.499992272645,-2097.49994275972
622.499994914058,-2122.49994253423
692.499991312819,-2047.49994443274
597.499995730044,-2127.49994241077
552.499997569785,-2072.49994345875
717.499990225319,-2052.49994422309
617.499994539607,-2057.49994348962
527.499999336212,-2057.49994450401
642.499994268863,-2117.49994215905
657.499993014921,-2112.49994207538
717.499991072031,-2047.49994475659
712.499991099651,-2077.49994330402
607.499995106528,-2117.49994171113
592.499996218141,-2122.49994219322
432.500003351493,-2107.49994212578
447.500002662182,-2137.49994141525
592.499996502716,-2117.49994174504
702.499991468827,-2082.49994285013
642.499994495513,-2107.4999423409
567.499997453508,-2112.49994203054
652.499993061995,-2107.49994260264
502.500000120887,-2092.49994326605
507.500000163891,-2092.49994285343
567.499997657339,-2077.49994362541
627.499994903249,-2122.49994257308
707.499991613791,-2067.49994402771
702.499991458811,-2057.49994399564
702.499990889313,-2067.4999441785
697.499991884011,-2067.4999441801
717.499990626044,-2057.49994382218
702.499991897683,-2077.49994351712
682.499991932775,-2087.49994321856
652.499993688879,-2112.49994206538
442.500001970252,-2102.49994265049
697.499992070689,-2057.49994416723
699.341285518087,-2098.49927129519
442.50000243435,-2132.49994187258
667.982816225591,-2101.1113835677
662.499992879058,-2102.49994222913
711.90002055885,-2063.18672756206
700.221683571217,-2056.01081222756
703.000104039158,-2056.93706813262
711.896357622789,-2063.51328704803
694.072390372814,-2046.85622099211
667.499992629932,-2037.49994429548
622.499994668502,-2127.49994139048
582.499996980073,-2127.49994195185
582.685520869764,-2130.54613364127
431.696867468602,-2141.01347944554
607.499995615363,-2122.49994257256
609.245935244686,-2123.28086803337
625.599467260565,-2107.03593244008
609.612069046225,-2139.32902766216
699.054156011046,-2098.16627826014
536.873490574696,-2063.96861655297
699.243619305601,-2059.80428383755
509.390021383512,-2065.93538617912
663.897214928812,-2100.65162149405
636.683613408812,-2136.64371660771
699.20265587287,-2056.2622255132
534.516042119105,-2097.39340744261
597.388675152966,-2120.79019889744
603.332559500927,-2044.59445502149
534.679960817956,-2096.31687506522
565.243862753948,-2077.32125905953
694.538602560968,-2050.32476826156
711.434680124963,-2086.13343576404
506.529600266324,-2097.53794067411
558.623040265234,-2103.50840013794
516.351247426499,-2098.89279490555
674.70253681877,-2102.77717070641
551.753508941563,-2118.68388094665
507.790163804527,-2086.79239508737
453.689951227377,-2105.61568845687
696.72583750947,-2051.10556999262
692.695759728877,-2049.61856846869
701.57865621334,-2051.8228454389
702.804391930663,-2054.11309131809
714.075429443107,-2051.84990357715
719.546342006343,-2052.23560694792
715.354698566036,-2055.25328743902
710.42597083453,-2055.09169726068
705.476113988477,-2059.22217929885
703.719406184394,-2064.05325436184
709.7799944025,-2059.74986430961
705.476065930669,-2059.22660707789
672.682581705459,-2102.15825599179
687.600264534674,-2121.63321832853
450.672237672987,-2120.16715143894
485.306180986077,-2097.0127180963
565.626028371713,-2076.2304599173
496.84115371989,-2061.62373554793
633.435664603346,-2030.9987135496
668.073846013297,-2126.14495578337
555.641228671488,-2124.49688466707
710.637976964721,-2070.16516103336
596.34851484632,-2121.09146497749
596.723175921791,-2121.82603572433
696.143013790422,-2046.59292424029
674.797720479985,-2038.00499778753
676.574223367752,-2040.12438504798
675.199179603479,-2036.81711631066
717.591547967958,-2066.11785627626
649.46259215183,-2135.80671471872
702.499990863012,-2047.49994472018
623.044794076696,-2125.02627065314
611.309210693368,-2124.77072710573
490.196188382111,-2077.22468576078
470.699559826792,-2104.28075470873
475.19739847787,-2102.89548730923
534.002190688831,-2096.83102489027
531.546819979058,-2089.60355572373
673.616092203866,-2129.61061911287
643.524333977544,-2107.47424129316
682.704665309884,-2092.49970438853
700.529819306338,-2072.84123582413
703.869933290923,-2067.79789176416
711.097403126174,-2058.98178480863
692.018851324623,-2055.88833876643
717.178921470561,-2051.67143703664
709.99722896679,-2048.31484544355
695.590532874473,-2060.13370649456
706.498640026303,-2051.09961046762
557.140764580774,-2093.07697654009
505.760654503637,-2079.34076089903
553.038371821943,-2098.22229168698
517.499999384285,-2042.49994408702
712.805170405756,-2066.77292572479
720.732629983605,-2092.37166487059
602.259804083346,-2124.52646877861
625.463796698967,-2123.98022250285
552.499997607821,-2067.49994317244
677.499992605386,-2092.49994347052
599.677285781698,-2135.39513279592
527.518640260922,-2099.47916714154
527.252217422828,-2099.55954712722
555.753335588733,-2102.04887052268
592.549575642345,-2117.73983382053
565.07004890574,-2077.29852466398
557.499997565654,-2132.49994187258
708.898874240016,-2047.44477296111
657.499993027505,-2092.49994272392
698.728721520391,-2054.6556018981
699.191733572657,-2062.12519731289
691.55694575312,-2056.47037079026
682.611165013245,-2084.40349268762
712.823305457172,-2066.75541629658
709.752568911068,-2065.83310887749
695.874650662186,-2073.51947230815
464.377368031621,-2119.04161991079
465.239965322983,-2118.68920020859
504.291121434268,-2100.4694499821
549.664115882249,-2122.57311935683
552.936187923848,-2097.14093236105
494.030844388025,-2073.13916238755
565.158717436702,-2077.2578914681
674.43617030841,-2099.0966202534
701.12606253662,-2046.27998766158
704.252007316661,-2045.31666199611
696.233517937074,-2042.67141441477
705.391350302445,-2082.15834341
505.400175721513,-2101.50319103253
706.478410034975,-2050.53146283267
461.06550087593,-2085.66515949288
604.61659218,-2119.17610013675
603.935274776496,-2053.76358840414
687.929981489992,-2121.5454859164
553.569111995565,-2098.88772852902
647.512998130683,-2133.75077609816
604.958104587366,-2120.01325158825
450.597803510249,-2120.1698968109
485.22923349729,-2097.15285919473
594.932429908196,-2119.63726052448
706.486388398641,-2045.41246324698
672.399421761713,-2106.26179440846
642.259760928342,-2115.861738092
633.628412759767,-2105.13554226261
709.797858554433,-2059.69038947091
581.886304315972,-2077.30356869964
599.280962627211,-2136.01270015844
709.824737383862,-2060.09356234541
486.120026177113,-2070.19022716293
701.752909986854,-2077.00029990747
686.572847535927,-2076.06606788106
543.75554999609,-2068.17572713256
698.859482096158,-2056.1602080643
654.698606087884,-2105.68959599287
527.337220409953,-2099.51917484555
552.883763420897,-2071.91240328592
534.546513827416,-2097.310919817
653.099630603272,-2097.48402885171
565.533507572725,-2076.37652867361
662.965982692534,-2058.51632849187
694.649930967797,-2058.7203190221
708.793895555893,-2046.9044728174
702.362302304083,-2059.62371216948
595.681302853072,-2125.82772089606
527.309535303875,-2099.37772488919
553.190536038519,-2098.57183401718
565.094717157211,-2099.79656445548
692.693434610936,-2090.44617924542
700.383854607689,-2070.70195047202
706.551546438701,-2080.77239804667
649.218092035653,-2100.12426569356
654.088850879163,-2104.90439711781
607.233486871578,-2119.21012888845
602.499995413122,-2117.49994238962
598.757242700742,-2130.57967791192
553.05169481751,-2098.20163790173
552.750336284316,-2071.97631548057
482.500000353524,-2097.4999424042
604.785601062559,-2121.49309719172
709.414689843302,-2058.51804504451
679.370567037184,-2089.19509783212
596.663745344214,-2042.70049201805
698.184529808838,-2058.67057157832
