"x.pos","y.pos","response","pp.wts"
487.500000161284,-2067.49994328692,1,1e-06
552.499998178278,-2122.49994194555,1,1e-06
647.499993800141,-2137.49994190957,1,1e-06
557.499997463933,-2042.4999439578,1,1e-06
607.499995610847,-2042.49994387319,1,1e-06
602.499995213179,-2122.49994260761,1,1e-06
687.49999206066,-2052.49994465101,1,1e-06
617.499994707958,-2127.49994151339,1,1e-06
707.499991206316,-2082.49994380847,1,1e-06
687.499992614815,-2122.4999416224,1,1e-06
722.499990598363,-2057.49994437942,1,1e-06
502.500000344986,-2072.49994344109,1,1e-06
722.499990598363,-2057.49994437942,1,1e-06
462.500001138906,-2087.49994332632,1,1e-06
452.500001760652,-2092.49994314912,1,1e-06
487.500000774324,-2097.49994327656,1,1e-06
457.500001489748,-2097.49994290239,1,1e-06
532.499998448981,-2097.49994226546,1,1e-06
447.500001947895,-2112.49994199906,1,1e-06
537.499998794878,-2077.49994320197,1,1e-06
707.499991127625,-2057.49994455454,1,1e-06
602.499995249725,-2052.49994366753,1,1e-06
457.500001678574,-2092.49994296839,1,1e-06
597.499995642731,-2122.49994208369,1,1e-06
687.499992614815,-2122.4999416224,1,1e-06
702.499991298034,-2072.49994323547,1,1e-06
692.499991735345,-2062.49994421473,1,1e-06
712.499990645925,-2057.49994455497,1,1e-06
477.500001308962,-2097.49994232533,1,1e-06
707.499991206316,-2082.49994380847,1,1e-06
707.499991033345,-2137.49994185671,1,1e-06
692.499992343758,-2092.49994279163,1,1e-06
702.499991906257,-2087.49994352307,1,1e-06
697.499991906915,-2062.49994420429,1,1e-06
722.499990598363,-2057.49994437942,1,1e-06
502.500000344986,-2072.49994344109,1,1e-06
707.499991206316,-2082.49994380847,1,1e-06
707.499991127625,-2057.49994455454,1,1e-06
672.499992272645,-2097.49994275972,1,1e-06
672.499992272645,-2097.49994275972,1,1e-06
487.500000161284,-2067.49994328692,1,1e-06
697.499991906915,-2062.49994420429,1,1e-06
622.499994914058,-2122.49994253423,1,1e-06
622.499994914058,-2122.49994253423,1,1e-06
692.499991312819,-2047.49994443274,1,1e-06
597.499995730044,-2127.49994241077,1,1e-06
702.499991298034,-2072.49994323547,1,1e-06
722.499990598363,-2057.49994437942,1,1e-06
552.499997569785,-2072.49994345875,1,1e-06
707.499991127625,-2057.49994455454,1,1e-06
707.499991127625,-2057.49994455454,1,1e-06
672.499992272645,-2097.49994275972,1,1e-06
722.499990598363,-2057.49994437942,1,1e-06
717.499990225319,-2052.49994422309,1,1e-06
717.499990225319,-2052.49994422309,1,1e-06
617.499994539607,-2057.49994348962,1,1e-06
527.499999336212,-2057.49994450401,1,1e-06
642.499994268863,-2117.49994215905,1,1e-06
657.499993014921,-2112.49994207538,1,1e-06
707.499991206316,-2082.49994380847,1,1e-06
717.499991072031,-2047.49994475659,1,1e-06
707.499991127625,-2057.49994455454,1,1e-06
697.499991906915,-2062.49994420429,1,1e-06
537.499998794878,-2077.49994320197,1,1e-06
712.499991099651,-2077.49994330402,1,1e-06
607.499995106528,-2117.49994171113,1,1e-06
462.500001138906,-2087.49994332632,1,1e-06
592.499996218141,-2122.49994219322,1,1e-06
707.499991127625,-2057.49994455454,1,1e-06
432.500003351493,-2107.49994212578,1,1e-06
447.500002662182,-2137.49994141525,1,1e-06
592.499996502716,-2117.49994174504,1,1e-06
702.499991468827,-2082.49994285013,1,1e-06
447.500002662182,-2137.49994141525,1,1e-06
642.499994495513,-2107.4999423409,1,1e-06
567.499997453508,-2112.49994203054,1,1e-06
532.499998448981,-2097.49994226546,1,1e-06
532.499998448981,-2097.49994226546,1,1e-06
652.499993061995,-2107.49994260264,1,1e-06
707.499991206316,-2082.49994380847,1,1e-06
502.500000120887,-2092.49994326605,1,1e-06
