"","x","y"
"377",598209.45044395,-2112525.81291673
"378",598018.17930847,-2111612.16154092
"379",597505.09695835,-2110832.3602933
"380",597141.30915051,-2110457.00377342
"381",596927.45080535,-2109922.3579111
"382",596835.52217991,-2109759.09304958
"383",596944.89639026,-2109048.16068307
"384",596850.19829358,-2107891.14866348
"385",596291.13538125,-2106181.12727573
"386",596092.15650425,-2105729.34970036
"387",595526.73799193,-2104727.38647866
"388",595452.43190934,-2104604.13913331
"389",595017.79797568,-2103928.04190389
"390",594629.61219377,-2102812.00778205
"391",594196.58555809,-2100956.17934537
"392",594195.52545456,-2100951.65505003
"393",593930.94158993,-2099827.17362659
"394",593857.04455989,-2099573.89589892
"395",593394.02279683,-2098250.97657726
"396",593311.00917622,-2098043.92209668
"397",593109.20183036,-2097599.12828264
"398",592922.72628407,-2096599.12126324
"399",592788.13982753,-2096294.24814303
"400",592799.21582219,-2095820.9973624
"401",592635.01504772,-2095168.53281601
"402",592302.76399322,-2094583.48485608
"403",592145.12757024,-2094376.74987404
"404",591957.73657404,-2093312.36457462
"405",591699.52427855,-2092657.88075996
"406",591735.43068199,-2091932.58914081
"407",591382.75890456,-2089648.33779871
"408",591256.75240651,-2087260.88502836
"409",591530.10460451,-2084492.85447341
"410",592148.93929993,-2082177.26804371
"411",593449.43593062,-2079240.74061271
"412",594897.56159609,-2076927.85468566
"413",595932.46290195,-2076011.87333637
"414",596319.23504226,-2075579.70766664
"415",597923.73640654,-2073302.35185992
"416",598721.54884661,-2072509.29934489
"417",602451.3411674,-2070084.15834569
"418",602650.30137968,-2069940.42060517
"419",604303.95053374,-2068617.50128351
"420",604563.53884277,-2068377.86301587
"421",605620.32910458,-2067253.9380157
"422",605834.68525219,-2066992.61013396
"423",607336.02991263,-2064886.5957737
"424",607351.85605996,-2064850.70439905
